OSEBuildingID;BuildingType;PrimaryPropertyType;PropertyName;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;ENERGYSTARScore;SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);Electricity(kWh)
20056;Multifamily LR (1-4);Low-Rise Multifamily;Nordheim Court;47.66523;-122.29966;1980;1;2;321333;48179;273154;Multifamily Housing;89;7311465.5;7828769.5;1292763.75
20059;Multifamily LR (1-4);Low-Rise Multifamily;Trailside Apts 4701 & 4708 (ID20059);47.66316;-122.30215;1959;1;3;26157;0;26157;Multifamily Housing;1;2534873.5;2762337;742928.875
20066;NonResidential;Hotel;University Travelodge;47.66355;-122.30123;1961;2;2;24100;0;24100;Hotel;91;1587454.75;1640279.375;239738.2031
20067;NonResidential;Restaurant;FareStart;47.61521;-122.33747;1923;1;3;33600;0;33600;Restaurant;;4475650;4712960.5;862050
20068;Multifamily LR (1-4);Low-Rise Multifamily;St. Martin's on Westlake;47.61553;-122.33769;1907;1;3;39201;0;39201;Multifamily Housing;;1852926.625;1968544.625;368621.3125
20069;Multifamily LR (1-4);Low-Rise Multifamily;Larned;47.61586;-122.33845;1909;1;3;23568;0;23568;Multifamily Housing;;903301.3125;930997.8125;144648.5938
20071;Multifamily LR (1-4);Low-Rise Multifamily;The Virginian;47.61369;-122.34022;1917;1;3;21130;0;21130;Multifamily Housing;87;1412896;1601187.75;52224.80078
20072;Multifamily MR (5-9);Mid-Rise Multifamily;Sheridan Apartments;47.61374;-122.33983;1914;1;6;36880;0;36880;Multifamily Housing;91;2090895.75;2304949.25;127426
20073;NonResidential;Other;Griffin Building;47.61362;-122.33959;1927;1;4;32356;0;32356;Financial Office;81;1857154.75;2013033.75;285616.5938
20082;NonResidential;Hotel;La Quinta Inn & Suites;47.61798;-122.33974;1960;1;7;61180;12960;48220;Hotel;24;3993913.25;4077797;545096.375
20087;NonResidential;Small- and Mid-Sized Office;800 Stewart;47.61524;-122.33519;1978;1;5;43506;11250;32256;Office;51;3460275.5;3603400;537543.5
20093;Multifamily HR (10+);Other;The Olivian;47.61397;-122.33351;2008;1;27;501239;161025;340214;Other;;15590743;16224524;3145485
20094;Multifamily HR (10+);High-Rise Multifamily;Tower 801;47.61297;-122.33263;1970;1;23;179745;39504;140241;Multifamily Housing;11;7821914;8499356;1762602.75
20095;Multifamily LR (1-4);Low-Rise Multifamily;53288 - Lock Vista;47.66812;-122.39756;1949;4;3;159820;0;159820;Multifamily Housing;90;4691945.5;5003620;822960.1875
20100;Multifamily LR (1-4);Low-Rise Multifamily;Golden Sunset Apartments;47.66766;-122.4002;1968;1;3;60858;0;60858;Multifamily Housing;87;1971310.25;2102257.75;391692.9063
20112;Multifamily LR (1-4);Low-Rise Multifamily;Harbor Square;47.58163;-122.37355;1990;1;3;28033;0;28033;Multifamily Housing;21;883109.875;910793;136646.5
20120;Multifamily LR (1-4);Low-Rise Multifamily;Gideon-Mathews Gardens;47.5997;-122.30015;1986;1;3;39816;0;39816;Multifamily Housing;23;1372574.75;1466592.75;402278.5938
20130;NonResidential;Worship Facility;Green Lake United Methodist Church;47.67572;-122.3285;1910;1;2;23931;0;23931;Worship Facility;88;496477.3125;0;48966.89844
20132;NonResidential;Worship Facility;Green Lake Church of Seventh-day Adventists;47.67491;-122.33316;1948;1;2;21393;0;21393;Worship Facility;57;845961.375;981916.5;78065.5
20133;Multifamily MR (5-9);Mid-Rise Multifamily;Bush Hotel;47.59886;-122.32544;1915;1;6;150374;0;150374;Multifamily Housing;;7618626.5;7961096;643238.6875
20138;Multifamily MR (5-9);Mid-Rise Multifamily;The Claremont;47.57298;-122.29456;2010;1;6;78005;14081;63924;Multifamily Housing;;1719814.625;1788246.625;349764.5
20140;Multifamily LR (1-4);Low-Rise Multifamily;Gale Place;47.57285;-122.29209;1956;4;2;20400;0;20400;Multifamily Housing;34;991513.875;1047338.5;290596.0938
20141;NonResidential;Mixed Use Property;WALDEN BUILDING;47.57256;-122.29265;1990;1;2;47560;0;47560;Distribution Center;80;1132489.625;1221954.375;170954.2031
20145;NonResidential;Senior Care Community;Cabrini Senior Housing;47.60897;-122.32507;2006;1;6;62334;0;62334;Senior Care Community;100;1076733.25;1147752.25;141022.2969
20153;Multifamily LR (1-4);Low-Rise Multifamily;Cambridge Court Condominiums;47.69799;-122.3282;1982;1;4;41664;0;41664;Multifamily Housing;81;952895.625;1024789;279277.6875
20160;NonResidential;Residence Hall;Sigma Kappa Corp;47.66159;-122.30441;1930;1;3;20960;0;20960;Residence Hall/Dormitory;;1500309.75;1667310.5;96365.70313
20162;Multifamily MR (5-9);Mid-Rise Multifamily;Gethsemane Condo Association;47.61562;-122.3339;2012;1;7;67403;0;67403;Multifamily Housing;;5364026;5821140.5;537281.375
20163;Multifamily HR (10+);High-Rise Multifamily;Aspira (Seattle) - Municipal Benchmarking Account;47.61589;-122.33342;2008;1;37;517164;0;517164;Multifamily Housing;90;10593982;10593982;2792774
20164;Multifamily MR (5-9);Mid-Rise Multifamily;Julie Apartments;47.61631;-122.33518;1929;1;5;30180;0;30180;Multifamily Housing;;2228675.5;2386365.75;246370.9063
20166;NonResidential;University;Beebe;47.61679;-122.33619;1910;1;3;28800;0;28800;College/University;;717056.375;773795.625;188260.9063
20167;NonResidential;K-12 School;Ninth & Lenora Building;47.61718;-122.33654;1957;1;2;21600;0;21600;K-12 School;72;1261536.75;1415640;178699.7969
20168;NonResidential;K-12 School;Spruce Street School;47.61687;-122.33533;1995;1;3;22860;0;22860;K-12 School;43;931148.625;990507.3125;272904
20169;Multifamily LR (1-4);Low-Rise Multifamily;Bowdoin Place Condominium;47.65434;-122.35044;1990;1;4;25490;0;25490;Multifamily Housing;80;697397.875;744687.3125;204395.5938
20170;Multifamily MR (5-9);Mid-Rise Multifamily;The Station at Othello Park;47.53691;-122.27984;2010;1;7;387971;0;387971;Multifamily Housing;77;10614234;10984338;1910361.5
20179;Multifamily LR (1-4);Low-Rise Multifamily;Lewison Place Apartments;47.66415;-122.28447;1966;1;3;25137;0;25137;Multifamily Housing;;767297.8125;817703.125;224882.0938
20182;NonResidential;Worship Facility;St. Bridget Church;47.66516;-122.2738;1972;1;1;26366;0;26366;Worship Facility;88;888031.875;996850;94900.89844
20186;Multifamily LR (1-4);Low-Rise Multifamily;Bradford Court Condominiums;47.56937;-122.37183;1992;0;4;31236;0;31236;Multifamily Housing;76;917194.625;959916.8125;268814.3125
20187;Multifamily MR (5-9);Mid-Rise Multifamily;Braeburn Condo HOA;47.61565;-122.3135;2005;1;7;140759;0;140759;Multifamily Housing;91;4230514;4496901;1000181.5
20188;Multifamily LR (1-4);Low-Rise Multifamily;Brandon Court;47.5536;-122.36338;1999;1;3;27119;0;27119;Multifamily Housing;;596242.1875;627235.6875;174748.5938
20197;NonResidential;Worship Facility;Sephardic Bikur Holim Congregation;47.54362;-122.2667;1965;1;2;21732;0;21732;Worship Facility;2;860364.1875;942745.6875;140433.5
20198;Multifamily LR (1-4);Low-Rise Multifamily;Garden Court Apartments;47.54557;-122.27438;1961;1;3;43752;0;43752;Multifamily Housing;32;1497496.5;1594122.125;438891.0938
20199;Multifamily LR (1-4);Low-Rise Multifamily;Graham Place Apartments;47.5459;-122.27507;1968;1;3;60270;0;60270;Multifamily Housing;;1359764.875;1424020.625;398524.1875
20201;Multifamily LR (1-4);Low-Rise Multifamily;The Brighton;47.54163;-122.27358;1968;1;4;160561;0;160561;Multifamily Housing;91;5885427.5;6396446;599500.8125
20207;Multifamily LR (1-4);Low-Rise Multifamily;Myrtle Street Apartments;47.53928;-122.27045;1969;1;4;34678;0;34678;Multifamily Housing;43;1128208.125;1181549.625;330658.8125
20209;Multifamily LR (1-4);Low-Rise Multifamily;FUL- Brittany House Condos;47.65388;-122.39196;1977;1;4;22394;0;22394;Multifamily Housing;74;744244.6875;789306.3125;218125.5938
20210;Multifamily MR (5-9);Mid-Rise Multifamily;Brix Condominium;47.62379405;-122.3201913;2007;1;6;145812;0;145812;Multifamily Housing;;5707529.5;5932130;937505.6875
20211;NonResidential;Mixed Use Property;Miller-Barringham Building;47.66835;-122.38886;1945;1;1;21060;0;21060;Non-Refrigerated Warehouse;;350264.5938;380806.5938;75667.5
20212;NonResidential;Mixed Use Property;Market Street Holdings;47.6684;-122.38788;1960;1;4;20539;0;20539;Retail Store;;1678458.75;1695247.625;329257.5
20217;SPS-District K-12;K-12 School;Sand Point Elementary;47.67365;-122.26293;1958;1;1;38624;0;38624;K-12 School;83;1424157.25;1564929.125;234116.2031
20222;Multifamily MR (5-9);Mid-Rise Multifamily;Broadway Plaza Condominiums;47.61927;-122.31786;1985;1;5;22874;0;22874;Multifamily Housing;;601813.125;633873.875;176381.2969
20223;Multifamily LR (1-4);Low-Rise Multifamily;White Heather Apartments;47.72098;-122.31228;1965;1;3;21469;0;21469;Multifamily Housing;77;510528.5;539732.375;149627.2969
20224;Multifamily LR (1-4);Low-Rise Multifamily;Pinehurst Court;47.72142;-122.31203;1984;1;4;50252;0;50252;Multifamily Housing;31;1928562;2044956.25;565229.125
20228;Multifamily LR (1-4);Low-Rise Multifamily;Arragun Apartments;47.70847;-122.35593;1978;1;3;22824;0;22824;Multifamily Housing;42;593953.375;625007.125;174077.7969
20230;Multifamily LR (1-4);Low-Rise Multifamily;Northpark Village;47.7064;-122.35574;1988;1;3;57338;0;57338;Multifamily Housing;87;1168017.75;1224890.25;342326.4063
20232;Multifamily MR (5-9);Mid-Rise Multifamily;Malloy;47.66085;-122.31244;1928;1;8;93502;0;93502;Multifamily Housing;91;3185005.75;3392243.75;519881
